,CustomerID,Recency,Frequency,Monetary,Country,Cluster
0,12346.0,326,1,77183.6,United Kingdom,0
1,12347.0,2,182,4310.0,Iceland,1
2,12348.0,75,31,1797.24,Finland,1
3,12349.0,19,73,1757.55,Italy,1
4,12350.0,310,17,334.4,Norway,2
5,12352.0,36,85,2506.04,Norway,1
6,12353.0,204,4,89.0,Bahrain,2
7,12354.0,232,58,1079.4,Spain,2
8,12355.0,214,13,459.4,Bahrain,2
9,12356.0,23,59,2811.43,Portugal,1
10,12357.0,33,131,6207.67,Switzerland,1
11,12358.0,2,19,1168.06,Austria,1
12,12359.0,58,248,6372.58,Cyprus,1
13,12360.0,52,129,2662.06,Austria,1
14,12361.0,287,10,189.9,Belgium,2
15,12362.0,3,266,5226.23,Belgium,1
16,12363.0,110,23,552.0,Unspecified,1
17,12364.0,8,85,1313.1,Belgium,1
18,12365.0,291,22,641.38,Cyprus,2
19,12367.0,4,11,168.9,Denmark,1
20,12370.0,51,167,3545.69,Cyprus,1
21,12370.0,51,167,3545.69,Austria,1
22,12371.0,45,63,1887.96,Switzerland,1
23,12372.0,72,52,1298.04,Denmark,1
24,12373.0,311,14,364.6,Austria,2
25,12374.0,25,33,742.9300000000001,Austria,1
26,12375.0,11,17,457.5,Finland,1
27,12377.0,315,77,1628.12,Switzerland,2
28,12378.0,130,219,4008.62,Switzerland,1
29,12379.0,82,40,852.24,Belgium,1
30,12380.0,22,104,2724.81,Belgium,1
31,12381.0,5,87,1845.31,Norway,1
32,12383.0,185,99,1850.56,Belgium,2
33,12384.0,29,27,585.27,Switzerland,1
34,12386.0,338,10,401.9,Australia,2
35,12388.0,16,100,2780.66,Australia,1
36,12390.0,80,32,549.84,Belgium,1
37,12391.0,22,100,460.89,Cyprus,1
38,12393.0,72,64,1582.6000000000001,Australia,1
39,12394.0,64,27,1272.48,Belgium,1
40,12394.0,64,27,1272.48,Denmark,1
41,12395.0,19,156,3018.63,Belgium,1
42,12397.0,36,126,2409.9,Belgium,1
43,12398.0,46,85,1635.6599999999999,Switzerland,1
44,12399.0,119,59,1108.65,Belgium,1
45,12401.0,303,5,84.3,Belgium,2
46,12402.0,323,11,225.6,Belgium,2
47,12403.0,50,5,427.7,Denmark,1
48,12405.0,149,54,1710.39,Finland,2
49,12406.0,22,105,3415.3,Denmark,1
50,12407.0,50,77,1708.1200000000001,Belgium,1
51,12408.0,33,105,2888.55,Belgium,1
52,12409.0,79,109,11072.67,Switzerland,1
53,12410.0,309,26,693.3299999999999,Switzerland,2
54,12412.0,75,61,1226.88,Denmark,1
55,12413.0,67,38,758.1,France,1
56,12414.0,217,18,562.41,Austria,2
57,12415.0,24,714,124914.53,Australia,3
58,12417.0,3,192,3649.1,Belgium,1
